consumo,fecha,findesemana,festivos,COVID,tmed,t-1
1971663,1559606400,0,0,0,19.481818181818184,2011267.0
2007176,1559692800,0,0,0,17.86818181818182,1971663.0
2018185,1559779200,0,0,0,15.763636363636364,2007176.0
2060641,1559865600,0,0,0,18.80454545454545,2018185.0
1427686,1559952000,1,0,0,17.645454545454545,2060641.0
1219406,1560038400,1,0,0,20.277272727272727,1427686.0
1541767,1560124800,0,1,0,19.75454545454545,1219406.0
1996468,1560211200,0,0,0,12.91904761904762,1541767.0
2038553,1560297600,0,0,0,14.245454545454544,1996468.0
2070348,1560384000,0,0,0,16.363636363636363,2038553.0
2080209,1560470400,0,0,0,20.045454545454547,2070348.0
1602220,1560556800,1,0,0,19.47391304347826,2080209.0
1435837,1560643200,1,0,0,19.172727272727272,1602220.0
2121433,1560729600,0,0,0,21.10869565217392,1435837.0
2143707,1560816000,0,0,0,21.256521739130434,2121433.0
2167610,1560902400,0,0,0,21.24,2143707.0
2187058,1560988800,0,0,0,22.10434782608696,2167610.0
2165131,1561075200,0,0,0,20.577272727272728,2187058.0
1555967,1561161600,1,0,0,21.545454545454547,2165131.0
1370515,1561248000,1,0,0,23.15,1555967.0
1412176,1561334400,0,1,0,23.209090909090907,1370515.0
2227176,1561420800,0,0,0,24.377272727272725,1412176.0
2309760,1561507200,0,0,0,26.5,2227176.0
2299851,1561593600,0,0,0,27.363636363636363,2309760.0
2439489,1561680000,0,0,0,29.286363636363635,2299851.0
1797473,1561766400,1,0,0,28.895454545454548,2439489.0
1567579,1561852800,1,0,0,26.685,1797473.0
2320414,1561939200,0,0,0,25.628,1567579.0
2393502,1562025600,0,0,0,25.1,2320414.0
2429884,1562112000,0,0,0,25.68,2393502.0
2399186,1562198400,0,0,0,25.18,2429884.0
2435057,1562284800,0,0,0,25.72,2399186.0
1663129,1562371200,1,0,0,26.668000000000003,2435057.0
1481364,1562457600,1,0,0,26.896,1663129.0
2310510,1562544000,0,0,0,24.112,1481364.0
2318150,1562630400,0,0,0,22.8625,2310510.0
2339137,1562716800,0,0,0,23.58,2318150.0
2402979,1562803200,0,0,0,25.14,2339137.0
2388176,1562889600,0,0,0,25.192,2402979.0
1629028,1562976000,1,0,0,25.344,2388176.0
1456869,1563062400,1,0,0,23.432,1629028.0
2275138,1563148800,0,0,0,23.364,1456869.0
2324218,1563235200,0,0,0,23.156,2275138.0
2342260,1563321600,0,0,0,22.968000000000004,2324218.0
2381723,1563408000,0,0,0,22.84,2342260.0
2368084,1563494400,0,0,0,23.16,2381723.0
1644833,1563580800,1,0,0,24.592,2368084.0
1535278,1563667200,1,0,0,25.156,1644833.0
2375370,1563753600,0,0,0,26.492,1535278.0
2395763,1563840000,0,0,0,27.064,2375370.0
2445338,1563926400,0,0,0,26.46,2395763.0
2396725,1564012800,0,0,0,25.836,2445338.0
2410053,1564099200,0,0,0,25.716,2396725.0
1608191,1564185600,1,0,0,21.296,2410053.0
1413486,1564272000,1,0,0,21.076,1608191.0
2233792,1564358400,0,0,0,22.776,1413486.0
2357756,1564444800,0,0,0,24.136,2233792.0
2261363,1564531200,0,0,0,22.828000000000003,2357756.0
2381812,1564617600,0,0,0,24.5,2261363.0
2429841,1564704000,0,0,0,25.036,2381812.0
1755462,1564790400,1,0,0,24.7,2429841.0
1597200,1564876800,1,0,0,25.196,1755462.0
2213293,1564963200,0,0,0,25.916,1597200.0
2312853,1565049600,0,0,0,25.816,2213293.0
2263168,1565136000,0,0,0,25.648000000000003,2312853.0
2217240,1565222400,0,0,0,26.524,2263168.0
2183101,1565308800,0,0,0,27.708,2217240.0
1759668,1565395200,1,0,0,26.716,2183101.0
1508781,1565481600,1,0,0,25.74,1759668.0
1961722,1565568000,0,0,0,22.84,1508781.0
1939072,1565654400,0,0,0,21.3,1961722.0
1936225,1565740800,0,0,0,21.828000000000003,1939072.0
1648269,1565827200,0,1,0,23.64,1936225.0
1816769,1565913600,0,0,0,23.996,1648269.0
1656733,1566000000,1,0,0,24.676,1816769.0
1510235,1566086400,1,0,0,25.052,1656733.0
2034490,1566172800,0,0,0,24.26,1510235.0
2071196,1566259200,0,0,0,21.728,2034490.0
2110096,1566345600,0,0,0,22.10833333333333,2071196.0
2161501,1566432000,0,0,0,23.904,2110096.0
2133564,1566518400,0,0,0,23.508000000000003,2161501.0
1754687,1566604800,1,0,0,24.232,2133564.0
1547527,1566691200,1,0,0,24.936,1754687.0
2291884,1566777600,0,0,0,24.084,1547527.0
2348069,1566864000,0,0,0,21.62,2291884.0
2306881,1566950400,0,0,0,23.356,2348069.0
2284654,1567036800,0,0,0,24.564,2306881.0
2379605,1567123200,0,0,0,25.317391304347822,2284654.0
1797034,1567209600,1,0,0,25.312,2379605.0
1394358,1567296000,1,0,0,23.516,1797034.0
2255581,1567382400,0,0,0,22.176,1394358.0
2316212,1567468800,0,0,0,22.08,2255581.0
2362743,1567555200,0,0,0,22.284,2316212.0
2289466,1567641600,0,0,0,21.296,2362743.0
2172656,1567728000,0,0,0,19.248,2289466.0
1552779,1567814400,1,0,0,19.308,2172656.0
1334620,1567900800,1,0,0,19.18,1552779.0
2121618,1567987200,0,0,0,19.954545454545453,1334620.0
2090050,1568073600,0,0,0,15.7375,2121618.0
1549319,1568160000,0,1,0,18.62,2090050.0
2124106,1568246400,0,0,0,21.94,1549319.0
2094761,1568332800,0,0,0,20.784,2124106.0
1576162,1568419200,1,0,0,22.98,2094761.0
1394467,1568505600,1,0,0,23.016666666666666,1576162.0
2237418,1568592000,0,0,0,22.475,1394467.0
2350742,1568678400,0,0,0,22.879166666666663,2237418.0
2402412,1568764800,0,0,0,22.9125,2350742.0
2388658,1568851200,0,0,0,21.829166666666666,2402412.0
2290262,1568937600,0,0,0,21.0625,2388658.0
1570471,1569024000,1,0,0,19.058333333333334,2290262.0
1374679,1569110400,1,0,0,21.116666666666667,1570471.0
1781766,1569196800,0,0,0,19.341666666666665,1374679.0
1680237,1569283200,0,1,0,21.2625,1781766.0
2209958,1569369600,0,0,0,19.9375,1680237.0
2221236,1569456000,0,0,0,20.529166666666665,2209958.0
2148038,1569542400,0,0,0,20.891666666666666,2221236.0
1484492,1569628800,1,0,0,20.72083333333333,2148038.0
1247378,1569715200,1,0,0,21.766666666666666,1484492.0
2143966,1569801600,0,0,0,20.666666666666668,1247378.0
2180817,1569888000,0,0,0,21.67083333333333,2143966.0
2062148,1569974400,0,0,0,19.72083333333333,2180817.0
1986348,1570060800,0,0,0,17.969565217391306,2062148.0
1964978,1570147200,0,0,0,18.379166666666663,1986348.0
1391120,1570233600,1,0,0,18.6,1964978.0
1172617,1570320000,1,0,0,18.5375,1391120.0
