pernoctaciones,fecha
140000,2020-09-14
140000,2020-09-15
140000,2020-09-16
140000,2020-09-17
140000,2020-09-18
140000,2020-09-19
140000,2020-09-20
140000,2020-09-21
140000,2020-09-22
140000,2020-09-23
140000,2020-09-24
140000,2020-09-25
140000,2020-09-26
140000,2020-09-27
140000,2020-09-28
140000,2020-09-29
140000,2020-09-30
143000,2020-10-01
143000,2020-10-02
143000,2020-10-03
143000,2020-10-04
143000,2020-10-05
143000,2020-10-06
143000,2020-10-07
143000,2020-10-08
143000,2020-10-09
143000,2020-10-10
143000,2020-10-11
143000,2020-10-12
143000,2020-10-13
143000,2020-10-14
143000,2020-10-15
143000,2020-10-16
143000,2020-10-17
143000,2020-10-18
143000,2020-10-19
143000,2020-10-20
143000,2020-10-21
143000,2020-10-22
143000,2020-10-23
143000,2020-10-24
143000,2020-10-25
143000,2020-10-26
143000,2020-10-27
143000,2020-10-28
143000,2020-10-29
143000,2020-10-30
143000,2020-10-31
98000,2020-11-01
98000,2020-11-02
98000,2020-11-03
98000,2020-11-04
98000,2020-11-05
98000,2020-11-06
98000,2020-11-07
98000,2020-11-08
98000,2020-11-09
98000,2020-11-10
98000,2020-11-11
98000,2020-11-12
98000,2020-11-13
98000,2020-11-14
98000,2020-11-15
98000,2020-11-16
98000,2020-11-17
98000,2020-11-18
98000,2020-11-19
98000,2020-11-20
98000,2020-11-21
98000,2020-11-22
98000,2020-11-23
98000,2020-11-24
98000,2020-11-25
98000,2020-11-26
98000,2020-11-27
98000,2020-11-28
98000,2020-11-29
98000,2020-11-30
109000,2020-12-01
109000,2020-12-02
109000,2020-12-03
109000,2020-12-04
109000,2020-12-05
109000,2020-12-06
109000,2020-12-07
109000,2020-12-08
109000,2020-12-09
109000,2020-12-10
109000,2020-12-11
109000,2020-12-12
109000,2020-12-13
109000,2020-12-14
109000,2020-12-15
109000,2020-12-16
109000,2020-12-17
109000,2020-12-18
109000,2020-12-19
109000,2020-12-20
109000,2020-12-21
109000,2020-12-22
109000,2020-12-23
109000,2020-12-24
109000,2020-12-25
109000,2020-12-26
109000,2020-12-27
109000,2020-12-28
109000,2020-12-29
109000,2020-12-30
109000,2020-12-31
106000,2021-01-01
106000,2021-01-02
106000,2021-01-03
106000,2021-01-04
106000,2021-01-05
106000,2021-01-06
106000,2021-01-07
106000,2021-01-08
106000,2021-01-09
106000,2021-01-10
106000,2021-01-11
106000,2021-01-12
106000,2021-01-13
106000,2021-01-14
106000,2021-01-15
106000,2021-01-16
106000,2021-01-17
106000,2021-01-18
106000,2021-01-19
106000,2021-01-20
106000,2021-01-21
106000,2021-01-22
106000,2021-01-23
106000,2021-01-24
106000,2021-01-25
106000,2021-01-26
106000,2021-01-27
106000,2021-01-28
106000,2021-01-29
106000,2021-01-30
106000,2021-01-31
104000,2021-02-01
104000,2021-02-02
104000,2021-02-03
104000,2021-02-04
104000,2021-02-05
104000,2021-02-06
104000,2021-02-07
104000,2021-02-08
104000,2021-02-09
104000,2021-02-10
104000,2021-02-11
104000,2021-02-12
104000,2021-02-13
104000,2021-02-14
104000,2021-02-15
104000,2021-02-16
104000,2021-02-17
104000,2021-02-18
104000,2021-02-19
104000,2021-02-20
104000,2021-02-21
104000,2021-02-22
104000,2021-02-23
104000,2021-02-24
104000,2021-02-25
104000,2021-02-26
104000,2021-02-27
104000,2021-02-28
126000,2021-03-01
126000,2021-03-02
126000,2021-03-03
126000,2021-03-04
126000,2021-03-05
126000,2021-03-06
126000,2021-03-07
126000,2021-03-08
126000,2021-03-09
126000,2021-03-10
126000,2021-03-11
126000,2021-03-12
126000,2021-03-13
126000,2021-03-14
126000,2021-03-15
126000,2021-03-16
126000,2021-03-17
126000,2021-03-18
126000,2021-03-19
126000,2021-03-20
126000,2021-03-21
126000,2021-03-22
126000,2021-03-23
126000,2021-03-24
126000,2021-03-25
126000,2021-03-26
126000,2021-03-27
126000,2021-03-28
126000,2021-03-29
126000,2021-03-30
126000,2021-03-31
142000,2021-04-01
142000,2021-04-02
142000,2021-04-03
142000,2021-04-04
142000,2021-04-05
142000,2021-04-06
142000,2021-04-07
142000,2021-04-08
142000,2021-04-09
142000,2021-04-10
142000,2021-04-11
142000,2021-04-12
142000,2021-04-13
142000,2021-04-14
142000,2021-04-15
142000,2021-04-16
142000,2021-04-17
142000,2021-04-18
142000,2021-04-19
142000,2021-04-20
142000,2021-04-21
142000,2021-04-22
142000,2021-04-23
142000,2021-04-24
142000,2021-04-25
142000,2021-04-26
142000,2021-04-27
142000,2021-04-28
142000,2021-04-29
142000,2021-04-30
204000,2021-05-01
204000,2021-05-02
204000,2021-05-03
204000,2021-05-04
204000,2021-05-05
204000,2021-05-06
204000,2021-05-07
204000,2021-05-08
204000,2021-05-09
204000,2021-05-10
204000,2021-05-11
204000,2021-05-12
204000,2021-05-13
204000,2021-05-14
204000,2021-05-15
204000,2021-05-16
204000,2021-05-17
204000,2021-05-18
204000,2021-05-19
204000,2021-05-20
204000,2021-05-21
204000,2021-05-22
204000,2021-05-23
204000,2021-05-24
204000,2021-05-25
204000,2021-05-26
204000,2021-05-27
204000,2021-05-28
204000,2021-05-29
204000,2021-05-30
204000,2021-05-31
277000,2021-06-01
277000,2021-06-02
277000,2021-06-03
277000,2021-06-04
277000,2021-06-05
277000,2021-06-06
277000,2021-06-07
277000,2021-06-08
277000,2021-06-09
277000,2021-06-10
277000,2021-06-11
277000,2021-06-12
277000,2021-06-13
277000,2021-06-14
277000,2021-06-15
277000,2021-06-16
277000,2021-06-17
277000,2021-06-18
277000,2021-06-19
277000,2021-06-20
277000,2021-06-21
277000,2021-06-22
277000,2021-06-23
277000,2021-06-24
277000,2021-06-25
277000,2021-06-26
277000,2021-06-27
277000,2021-06-28
277000,2021-06-29
277000,2021-06-30
505000,2021-07-01
505000,2021-07-02
505000,2021-07-03
505000,2021-07-04
505000,2021-07-05
505000,2021-07-06
505000,2021-07-07
505000,2021-07-08
505000,2021-07-09
505000,2021-07-10
505000,2021-07-11
505000,2021-07-12
505000,2021-07-13
505000,2021-07-14
505000,2021-07-15
505000,2021-07-16
505000,2021-07-17
505000,2021-07-18
505000,2021-07-19
505000,2021-07-20
505000,2021-07-21
505000,2021-07-22
505000,2021-07-23
505000,2021-07-24
505000,2021-07-25
505000,2021-07-26
505000,2021-07-27
505000,2021-07-28
505000,2021-07-29
505000,2021-07-30
505000,2021-07-31
601000,2021-08-01
601000,2021-08-02
601000,2021-08-03
601000,2021-08-04
601000,2021-08-05
601000,2021-08-06
601000,2021-08-07
601000,2021-08-08
601000,2021-08-09
601000,2021-08-10
601000,2021-08-11
601000,2021-08-12
601000,2021-08-13
601000,2021-08-14
601000,2021-08-15
601000,2021-08-16
601000,2021-08-17
601000,2021-08-18
601000,2021-08-19
601000,2021-08-20
601000,2021-08-21
601000,2021-08-22
601000,2021-08-23
601000,2021-08-24
601000,2021-08-25
601000,2021-08-26
601000,2021-08-27
601000,2021-08-28
601000,2021-08-29
601000,2021-08-30
601000,2021-08-31
438000,2021-09-01
438000,2021-09-02
438000,2021-09-03
438000,2021-09-04
438000,2021-09-05
438000,2021-09-06
438000,2021-09-07
438000,2021-09-08
438000,2021-09-09
438000,2021-09-10
438000,2021-09-11
438000,2021-09-12
438000,2021-09-13
438000,2021-09-14
438000,2021-09-15
438000,2021-09-16
438000,2021-09-17
438000,2021-09-18
438000,2021-09-19
438000,2021-09-20
438000,2021-09-21
438000,2021-09-22
438000,2021-09-23
438000,2021-09-24
438000,2021-09-25
438000,2021-09-26
438000,2021-09-27
438000,2021-09-28
438000,2021-09-29
438000,2021-09-30
513000,2021-10-01
513000,2021-10-02
513000,2021-10-03
513000,2021-10-04
513000,2021-10-05
513000,2021-10-06
513000,2021-10-07
513000,2021-10-08
513000,2021-10-09
513000,2021-10-10
513000,2021-10-11
513000,2021-10-12
513000,2021-10-13
513000,2021-10-14
513000,2021-10-15
513000,2021-10-16
513000,2021-10-17
513000,2021-10-18
513000,2021-10-19
513000,2021-10-20
513000,2021-10-21
513000,2021-10-22
513000,2021-10-23
513000,2021-10-24
513000,2021-10-25
513000,2021-10-26
513000,2021-10-27
513000,2021-10-28
513000,2021-10-29
513000,2021-10-30
513000,2021-10-31
421000,2021-11-01
421000,2021-11-02
421000,2021-11-03
421000,2021-11-04
421000,2021-11-05
421000,2021-11-06
421000,2021-11-07
421000,2021-11-08
421000,2021-11-09
421000,2021-11-10
421000,2021-11-11
421000,2021-11-12
421000,2021-11-13
421000,2021-11-14
421000,2021-11-15
421000,2021-11-16
421000,2021-11-17
421000,2021-11-18
421000,2021-11-19
421000,2021-11-20
421000,2021-11-21
421000,2021-11-22
421000,2021-11-23
421000,2021-11-24
421000,2021-11-25
421000,2021-11-26
421000,2021-11-27
421000,2021-11-28
421000,2021-11-29
421000,2021-11-30
430000,2021-12-01
430000,2021-12-02
430000,2021-12-03
430000,2021-12-04
430000,2021-12-05
430000,2021-12-06
430000,2021-12-07
430000,2021-12-08
430000,2021-12-09
430000,2021-12-10
430000,2021-12-11
430000,2021-12-12
430000,2021-12-13
430000,2021-12-14
430000,2021-12-15
430000,2021-12-16
430000,2021-12-17
430000,2021-12-18
430000,2021-12-19
430000,2021-12-20
430000,2021-12-21
430000,2021-12-22
430000,2021-12-23
430000,2021-12-24
430000,2021-12-25
430000,2021-12-26
430000,2021-12-27
430000,2021-12-28
430000,2021-12-29
430000,2021-12-30
430000,2021-12-31
337000,2022-01-01
337000,2022-01-02
337000,2022-01-03
337000,2022-01-04
337000,2022-01-05
337000,2022-01-06
337000,2022-01-07
337000,2022-01-08
337000,2022-01-09
337000,2022-01-10
337000,2022-01-11
337000,2022-01-12
337000,2022-01-13
337000,2022-01-14
337000,2022-01-15
337000,2022-01-16
337000,2022-01-17
337000,2022-01-18
337000,2022-01-19
337000,2022-01-20
337000,2022-01-21
337000,2022-01-22
337000,2022-01-23
337000,2022-01-24
337000,2022-01-25
337000,2022-01-26
337000,2022-01-27
337000,2022-01-28
337000,2022-01-29
337000,2022-01-30
337000,2022-01-31
439000,2022-02-01
439000,2022-02-02
439000,2022-02-03
439000,2022-02-04
439000,2022-02-05
439000,2022-02-06
439000,2022-02-07
439000,2022-02-08
439000,2022-02-09
439000,2022-02-10
439000,2022-02-11
439000,2022-02-12
439000,2022-02-13
439000,2022-02-14
439000,2022-02-15
439000,2022-02-16
439000,2022-02-17
439000,2022-02-18
439000,2022-02-19
439000,2022-02-20
439000,2022-02-21
439000,2022-02-22
439000,2022-02-23
439000,2022-02-24
439000,2022-02-25
439000,2022-02-26
439000,2022-02-27
439000,2022-02-28
531000,2022-03-01
531000,2022-03-02
531000,2022-03-03
531000,2022-03-04
531000,2022-03-05
531000,2022-03-06
531000,2022-03-07
531000,2022-03-08
531000,2022-03-09
531000,2022-03-10
531000,2022-03-11
531000,2022-03-12
531000,2022-03-13
531000,2022-03-14
531000,2022-03-15
531000,2022-03-16
531000,2022-03-17
531000,2022-03-18
531000,2022-03-19
531000,2022-03-20
531000,2022-03-21
531000,2022-03-22
531000,2022-03-23
531000,2022-03-24
531000,2022-03-25
531000,2022-03-26
531000,2022-03-27
531000,2022-03-28
531000,2022-03-29
531000,2022-03-30
531000,2022-03-31
760000,2022-04-01
760000,2022-04-02
760000,2022-04-03
760000,2022-04-04
760000,2022-04-05
760000,2022-04-06
760000,2022-04-07
760000,2022-04-08
760000,2022-04-09
760000,2022-04-10
760000,2022-04-11
760000,2022-04-12
760000,2022-04-13
760000,2022-04-14
760000,2022-04-15
760000,2022-04-16
760000,2022-04-17
760000,2022-04-18
760000,2022-04-19
760000,2022-04-20
760000,2022-04-21
760000,2022-04-22
760000,2022-04-23
760000,2022-04-24
760000,2022-04-25
760000,2022-04-26
760000,2022-04-27
760000,2022-04-28
760000,2022-04-29
760000,2022-04-30
791000,2022-05-01
791000,2022-05-02
791000,2022-05-03
791000,2022-05-04
791000,2022-05-05
791000,2022-05-06
791000,2022-05-07
791000,2022-05-08
791000,2022-05-09
791000,2022-05-10
791000,2022-05-11
791000,2022-05-12
791000,2022-05-13
791000,2022-05-14
791000,2022-05-15
791000,2022-05-16
791000,2022-05-17
